"company_id","transaction_id","close","large_dip","date_published","industry_id","pb_ratio","pc_ratio","pe_ratio","ps_ratio","discount_percentile","institution_held","insider_held","return_on_assets","return_on_equity","total_debt_equity","current_ratio","market_cap","recovered"
75,2024301,135.6,t,"2018-12-21 00:00:00",42,0.745095884389252,22.5249169435216,-5.31764705882353,2.88449266113593,0.257826665054998,88.91,0.3,0.64,-12.97,38.93,1.03,52950000000,t
77,2116692,67.21,t,"2018-11-16 00:00:00",26,1.31861879536983,1.73983950297696,7.51789709172259,3.75684740078256,0.303197064989518,75.04,1.73,0.57,14.52,2557.15,0.69,825680000,f
77,2262249,72.18,t,"2018-09-29 00:00:00",26,1.416127133608,1.86849598757442,8.07382550335571,4.03465623253214,0.433438155136269,75.04,1.73,0.57,14.52,2557.15,0.69,825680000,f
77,1773312,69.37,t,"2019-03-23 00:00:00",26,1.36099666470473,1.79575459487445,7.75950782997763,3.8775852431526,0.359800838574424,75.04,1.73,0.57,14.52,2557.15,0.69,825680000,t
77,2418176,84.28,t,"2018-08-10 00:00:00",26,1.65352167941927,2.18172404866684,9.42729306487696,4.71101173840134,0.750524109014675,75.04,1.73,0.57,14.52,2557.15,0.69,825680000,f
84,1513364,41.31,t,"2019-06-12 00:00:00",19,1.78522039757995,2.52506112469438,36.8839285714286,1.6477861986438,0.369294605809129,88.83,10.28,0.69,4.75,0.33,5.25,612980000,f
85,1623745,21.07,t,"2019-05-10 00:00:00",43,5.61866666666667,32.921875,-52.675,2.52335329341317,0.585575048732944,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,f
85,2104073,19.17,t,"2018-11-20 00:00:00",43,5.112,29.953125,-47.925,2.29580838323353,0.511500974658869,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,t
85,2165496,22.03,t,"2018-10-30 00:00:00",43,5.87466666666667,34.421875,-55.075,2.63832335329341,0.623001949317739,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,t
85,2317265,28.73,t,"2018-09-11 00:00:00",43,7.66133333333333,44.890625,-71.825,3.44071856287425,0.88421052631579,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,f
85,2024404,19.8,t,"2018-12-21 00:00:00",43,5.28,30.9375,-49.5,2.37125748502994,0.536062378167641,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,t
85,2186326,25.61,t,"2018-10-23 00:00:00",43,6.82933333333333,40.015625,-64.025,3.06706586826347,0.762573099415205,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,f
85,1606309,20.3,t,"2019-05-14 00:00:00",43,5.41333333333333,31.71875,-50.75,2.4311377245509,0.555555555555556,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,f
85,2133888,21.01,t,"2018-11-10 00:00:00",43,5.60266666666667,32.828125,-52.525,2.51616766467066,0.583235867446394,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,t
85,2886160,8.31,t,"2019-08-09 00:00:00",43,2.216,12.984375,-20.775,0.995209580838323,0.0881091617933723,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,t
85,2986670,9.38,t,"2019-08-24 00:00:00",43,2.50133333333333,14.65625,-23.45,1.12335329341317,0.129824561403509,86.7,0.51,2.95,-9.87,405.98,2.04,346220000,t
87,2003988,3.42,t,"2018-12-28 00:00:00",44,0.912,1.41322314049587,5.7672849915683,0.377900552486188,0.0482758620689654,68.03,3.5,-2.32,15.22,31.49,2.65,77480000,t
87,2022817,3.57,t,"2018-12-22 00:00:00",44,0.952,1.47520661157025,6.02023608768971,0.394475138121547,0.151724137931034,68.03,3.5,-2.32,15.22,31.49,2.65,77480000,t
87,1648982,3.5,t,"2019-05-02 00:00:00",44,0.933333333333333,1.44628099173554,5.90219224283305,0.386740331491713,0.103448275862069,68.03,3.5,-2.32,15.22,31.49,2.65,77480000,t
97,1507052,3.65,t,"2019-06-15 00:00:00",46,1.01671309192201,1.57327586206897,-2.00109649122807,0.245791245791246,0.312056737588652,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,f
97,1538407,4.41,t,"2019-06-04 00:00:00",46,1.22841225626741,1.90086206896552,-2.41776315789474,0.296969696969697,0.491725768321513,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,f
97,1813370,4.81,t,"2019-03-02 00:00:00",46,1.33983286908078,2.07327586206897,-2.63706140350877,0.323905723905724,0.58628841607565,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,t
97,2437337,6.97,t,"2018-08-04 00:00:00",46,1.94150417827298,3.00431034482759,-3.82127192982456,0.469360269360269,1.09692671394799,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,f
97,2698593,2.47,t,"2019-07-12 00:00:00",46,0.688022284122563,1.06465517241379,-1.35416666666667,0.166329966329966,0.033096926713948,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,t
97,2035351,4.08,t,"2018-12-18 00:00:00",46,1.13649025069638,1.75862068965517,-2.23684210526316,0.274747474747475,0.41371158392435,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,t
